study,sample_id,order,mge_abundance,entropy,arg_total,sequencing_depth,metric_status
PRJNA1071831_Drag,SRR27827413,1,112.0,3.61,285.0,,ok
PRJNA1071831_Drag,SRR27827408,2,107.0,3.74,272.0,,ok
PRJNA1071831_Drag,SRR27827406,3,104.0,3.89,263.0,,ok
PRJNA1071831_Drag,SRR27827404,4,99.0,3.98,251.0,,ok
PRJNA1071831_Mech,SRR27827412,1,68.0,3.85,158.0,,ok
PRJNA1071831_Mech,SRR27827407,2,65.0,3.97,151.0,,ok
PRJNA1071831_Mech,SRR27827405,3,61.0,4.08,147.0,,ok
PRJNA1071831_Mech,SRR27827403,4,59.0,4.17,140.0,,ok
PRJNA599167,SRR11811727,3,,4.23,,839000,partial_missing_metric
PRJNA599167,SRR11811728,2,,4.31,,652000,partial_missing_metric
PRJNA599167,SRR11811733,1,,4.18,,716000,partial_missing_metric
PRJNA599167,SRR11811738,4,,4.41,,660000,partial_missing_metric
PRJNA599167_WGA,SRR11803505,1,43.0,2.87,91.0,17700000,ok
PRJNA599167_WGA,SRR11803504,2,41.0,2.91,88.0,13800000,ok
PRJNA599167_WGA,SRR11803502,3,39.0,2.85,85.0,8500000,ok
PRJNA599167_WGA,SRR11803501,4,41.0,2.94,87.0,13800000,ok
PRJNA599167_WGA,SRR11803500,5,40.0,2.88,86.0,12100000,ok
PRJNA599167_WGA,SRR11803499,6,39.0,2.92,84.0,11200000,ok
PRJNA599167_WGA,SRR11803498,7,36.0,2.82,78.0,4100000,ok
PRJNA599167_WGA,SRR11803497,8,38.0,2.9,83.0,9300000,ok
PRJNA599167_WGA,SRR11803496,9,38.0,2.88,82.0,,ok
PRJNA599167_WGA,SRR11803495,10,37.0,2.85,81.0,,ok
PRJNA599167_WGA,SRR11803503,11,39.0,2.91,83.0,10700000,ok
